year,campus,campus_display,discipline,college_school_labels,applicants,admits,enrollees,admit_gpa,enrollee_gpa,admit_rate,yield_rate,selectivity_label
2025,UCLA,UCLA,Computer Science,School Of Engineering & Applied Sci,6803,498,138,4.25 - 4.30,4.23 - 4.32,7.0,28.0,Most Selective
2025,UCLA,UCLA,Education,College Of Letters & Science; School Of Music,1244,98,57,4.13 - 4.28,4.12 - 4.28,8.0,58.0,Most Selective
2025,UCLA,UCLA,Engineering,College Of Letters & Science; School Of Engineering & Applied Sci,23911,1591,647,4.25 - 4.32,4.25 - 4.32,7.0,41.0,Most Selective
2025,UCLA,UCLA,Life Sciences,College Of Letters & Science,23700,3121,1657,4.21 - 4.30,4.21 - 4.30,13.0,53.0,Highly Selective
2025,UCLA,UCLA,Nursing,School Of Nursing,5668,31,29,4.23 - 4.31,4.23 - 4.32,1.0,94.0,Most Selective
2025,UCLA,UCLA,Other Health Science,College Of Letters & Science,2886,303,169,4.20 - 4.30,4.17 - 4.30,10.0,56.0,Highly Selective
2025,UCLA,UCLA,Other/Interdisciplinary,College Of Letters & Science,4579,613,303,4.21 - 4.30,4.20 - 4.30,13.0,49.0,Highly Selective
2025,UCLA,UCLA,Physical Sciences/Math,College Of Letters & Science,12894,1895,769,4.22 - 4.30,4.22 - 4.30,15.0,41.0,Highly Selective
2025,UCLA,UCLA,Public Admin,College Of Letters & Science,876,127,46,4.20 - 4.29,4.21 - 4.29,14.0,36.0,Highly Selective
2025,UCLA,UCLA,Social Sciences,College Of Letters & Science,24248,2220,1141,4.19 - 4.30,4.17 - 4.30,9.0,51.0,Most Selective
2025,UCLA,UCLA,Undeclared,College Of Letters & Science; School Of Engineering & Applied Sci,10486,721,360,4.16 - 4.30,4.13 - 4.30,7.0,50.0,Most Selective
2025,UCM,UC Merced,Arts & Humanities,Not applicable,1625,1476,47,3.50 - 4.08,3.28 - 3.74,91.0,3.0,Broad Access
2025,UCM,UC Merced,Business,Not applicable,3674,3382,123,3.45 - 4.06,3.26 - 3.95,92.0,4.0,Broad Access
2025,UCM,UC Merced,Engineering,Not applicable,11565,11206,603,3.69 - 4.21,3.33 - 3.93,97.0,5.0,Broad Access
2025,UCM,UC Merced,Life Sciences,Not applicable,10012,9646,438,3.62 - 4.18,3.30 - 3.93,96.0,5.0,Broad Access
2025,UCM,UC Merced,Other/Interdisciplinary,Not applicable,3176,2909,75,3.48 - 4.11,3.26 - 3.87,92.0,3.0,Broad Access
2025,UCM,UC Merced,Physical Sciences/Math,Not applicable,3227,3008,97,3.66 - 4.20,3.15 - 3.80,93.0,3.0,Broad Access
2025,UCM,UC Merced,Public Health,Not applicable,2452,2313,91,3.45 - 4.08,3.32 - 4.00,94.0,4.0,Broad Access
2025,UCM,UC Merced,Social Sciences,Not applicable,8622,8049,249,3.47 - 4.08,3.18 - 3.79,93.0,3.0,Broad Access
2025,UCM,UC Merced,Undeclared,Not applicable,5013,4576,259,3.40 - 4.02,3.23 - 3.82,91.0,6.0,Broad Access
2025,UCR,UC Riverside,Arts & Humanities,College Of Humanities & Social Sci,5364,4847,419,3.46 - 4.06,3.26 - 3.81,90.0,9.0,Broad Access
2025,UCR,UC Riverside,Business,College Of Humanities & Social Sci; School Of Business Administration,8228,7448,1116,3.45 - 4.05,3.33 - 3.88,91.0,15.0,Broad Access
2025,UCR,UC Riverside,Computer Science,College Of Engineering; College Of Natural & Agricultural Sci,5068,4111,236,3.96 - 4.25,3.73 - 4.08,81.0,6.0,Broad Access
2025,UCR,UC Riverside,Education,School Of Education,1488,1284,167,3.41 - 4.00,3.32 - 3.73,86.0,13.0,Broad Access
2025,UCR,UC Riverside,Engineering,College Of Engineering,11480,9615,992,3.84 - 4.22,3.66 - 4.01,84.0,10.0,Broad Access
